0,1,2,3,4
Road No.,Model,Bldr No.,Bldr Date,Notes
308,SD18/SD-M,EMD 25781,4/60,Ex-DM&IR SD-M 308 < nee DM&IR SD18 177
319,SD-M,EMD --,--,Ex-Shelly Materials 319 < B&LE 858/321 < DM&IR SD-M 321 < nee DM&IR SD18 187
343,SD9m,EMD 23158,3/57,Ex-NS SD9m < 51 N&W 2343 < nee NKP 343
547,GP35,EMD 29475,4/64,Ex-JLCX 547 < NW 2918 < nee Wabash 547
708,SW9U,EMD --,--,Ex-??
859,SD-M,EMD --,--,Ex-B&LE 858/319 < DM&IR SD-M 319 < nee DM&IR SD18 191
1323,MP15DC,EMD 74662-4,3/75,Ex-UPY/UP 1323 < nee C&NW 1310
2105,GP38,EMD 33684,11/67,Ex-PRLX 2105 < nee C&O 3853
2340,GP38M-2,EMD --,--,Reblt from GP35/td>
2675,SD40M-2,EMD --,--,Ex-UP < SP < ??
2690,SD40M-2,EMD --,--,Ex-UP < SP < ??
3134,GP40-2,EMD 34295,8/68,Ex-Southwestern GP40-2 3134 < DRGW 3134 < CR 3118 < nee PC GP40 3118
3312,SD40-2,EMD --,--,Ex-??
3617,GP38,EMD 33280,10/67,Ex-PRLX 3617 < nee MEC 263
8420,GP10,EMD 15851,2/52,Ex-G&O 8420 < ICG 7720 < nee SLSF GP7 623
"Abbreviations C&NW - Chicago & North WesternCR - ConrailDM&IR - Duluth Missabe & Iron RangeDRGW - Denver & Rio Grande WesternICG - Illinois Central GulfN&W Norfolk & WesternNKP - Nickel PlateNS - Norfolk SouthernSLSF - St Louis-San FranciscoUP - Union PacificAdditional information/updates sources: RRpictures archive.net, Train Orders.com, and TDS.New:  24 Jan. 2017",,,,
